Model,ConfLevel,BreachRate,Expected,RelError
Gaussian,0.99,0.01640566741237882,0.010000000000000009,1.6405667412378806
Gaussian,0.995,0.010439970171513796,0.0050000000000000044,2.087994034302757
Gaussian,0.999,0.0044742729306487695,0.0010000000000000009,4.474272930648765
StudentT,0.99,0.014168530947054437,0.010000000000000009,1.4168530947054425
StudentT,0.995,0.007457121551081283,0.0050000000000000044,1.4914243102162552
StudentT,0.999,0.002982848620432513,0.0010000000000000009,2.98284862043251
Clayton,0.99,0.014168530947054437,0.010000000000000009,1.4168530947054425
Clayton,0.995,0.007457121551081283,0.0050000000000000044,1.4914243102162552
Clayton,0.999,0.0037285607755406414,0.0010000000000000009,3.7285607755406383
Gumbel,0.99,0.1029082774049217,0.010000000000000009,10.29082774049216
Gumbel,0.995,0.07829977628635347,0.0050000000000000044,15.65995525727068
Gumbel,0.999,0.040268456375838924,0.0010000000000000009,40.26845637583889
