Date,Gaussian_SimPL,Gaussian_wSPX,Gaussian_wDAX,Gaussian_VaR,Gaussian_ES,StudentT_SimPL,StudentT_wSPX,StudentT_wDAX,StudentT_VaR,StudentT_ES,Clayton_SimPL,Clayton_wSPX,Clayton_wDAX,Clayton_VaR,Clayton_ES,Gumbel_SimPL,Gumbel_wSPX,Gumbel_wDAX,Gumbel_VaR,Gumbel_ES
2020-01-02,"[ 0.01350826  0.58984611  0.02022929 ... -0.16917742 -0.52473509
 -0.26023027]",0.750000,0.250000,-1.515003,-1.903837,"[ 0.8270789  -1.08966881  0.00222941 ... -0.81306014  0.35996065
 -0.74531207]",0.750000,0.250000,-1.557395,-2.021104,"[ 0.2245201   0.11589945  1.00617785 ... -0.49865015 -1.20455988
 -1.67007923]",0.750000,0.250000,-1.588892,-2.058381,"[-0.0494602  -0.55768111  0.80596805 ...  1.54788893  0.52108174
  0.69557399]",0.750000,0.250000,-1.325001,-1.691015
2020-01-03,"[ 0.48970264 -0.07814615 -0.38727543 ...  0.32986624 -0.2825227
 -0.64999983]",0.750000,0.250000,-1.594315,-2.073887,"[-0.45147103 -0.08655262  1.08246444 ... -1.02441223  0.20056928
  0.74909041]",0.750000,0.250000,-1.780368,-2.289786,"[ 0.27328457  0.08130154 -0.8972603  ...  0.65652231 -0.03948155
 -0.00598113]",0.750000,0.250000,-1.749509,-2.293903,"[-0.19142621 -0.19225032 -0.4574859  ... -0.22373672  0.42446662
 -0.5550432 ]",0.750000,0.250000,-1.425946,-1.853998
2020-01-06,"[ 0.12863039  0.56539024 -0.27688217 ... -0.22699545  0.42789062
 -0.48259193]",0.750000,0.250000,-1.625604,-2.099446,"[ 1.33846444  0.57135937  1.16981974 ... -0.23248097  0.35720359
  0.44351966]",0.750000,0.250000,-1.768957,-2.218252,"[-0.06363389 -0.70543955  0.57861644 ...  0.09542691  0.01265075
  0.18757355]",0.750000,0.250000,-1.705782,-2.212773,"[ 0.2499727   0.56919164  0.15846683 ... -0.50362936  0.36058059
  0.33467008]",0.750000,0.250000,-1.457126,-1.849362
2020-01-07,"[ 0.15452492  0.12042059  0.61642687 ...  0.54276036  0.67218853
 -0.02010942]",0.750000,0.250000,-1.610263,-2.069832,"[-0.36566382 -0.07899709  0.1402397  ... -0.70663613  0.42463996
  0.28063409]",0.750000,0.250000,-1.697448,-2.248879,"[ 0.26367019  0.20710367 -1.44224571 ...  0.76620041  0.25175625
 -0.09851558]",0.750000,0.250000,-1.665051,-2.319412,"[-0.41061168  0.22060353  0.00736611 ...  0.171615    1.17996679
  0.46308911]",0.750000,0.250000,-1.472356,-1.876050
2020-01-08,"[-0.19315628 -0.12611859  0.41588652 ... -0.30531668  0.16367037
 -0.24051689]",0.750000,0.250000,-1.559931,-2.045827,"[-0.98154506 -0.2343774  -0.39201631 ...  0.11703166 -0.17311368
  0.22040806]",0.750000,0.250000,-1.645945,-2.169314,"[-0.34762993 -0.19574472 -0.06121865 ... -0.44008724  0.44742688
  0.3853475 ]",0.750000,0.250000,-1.657716,-2.153234,"[ 0.9518175   0.06169708 -0.42174498 ... -0.64769937 -0.82988176
 -0.61740664]",0.750000,0.250000,-1.390383,-1.731842
2020-01-09,"[ 0.3734764   0.10762896  0.01897694 ...  0.34594321  0.13211555
 -0.76503047]",0.750000,0.250000,-1.545157,-1.953071,"[ 0.48624516 -0.9637865   0.17147515 ...  0.15219878 -1.0818348
 -1.00366663]",0.750000,0.250000,-1.648841,-2.068385,[0.19083626 0.12703038 0.27055722 ... 0.28991834 0.344944   0.00162269],0.750000,0.250000,-1.579720,-2.141462,"[ 0.33756398 -0.24036421  0.86084055 ... -0.40180263 -0.37981103
 -0.33036665]",0.750000,0.250000,-1.431678,-1.825036
2020-01-10,"[-0.90461511 -0.78380156  0.48451743 ... -0.56100836  0.84122159
  1.19203656]",0.750000,0.250000,-1.475636,-1.885035,"[-1.24292626  0.61532753  0.18919528 ...  0.40978569  0.02833415
  0.26810823]",0.750000,0.250000,-1.615680,-2.088300,"[-0.14341061  0.44421119 -0.07440981 ... -0.16868361 -0.25411648
 -0.85720131]",0.750000,0.250000,-1.548665,-2.030275,"[ 0.51065354 -0.13029584  0.22416476 ... -0.44673247  0.10753754
 -0.00213243]",0.750000,0.250000,-1.295011,-1.677024
2020-01-13,"[-0.09762701  0.01297919  0.1190597  ...  0.42969613 -0.13272357
 -0.06167435]",0.750000,0.250000,-1.513505,-1.932071,"[-0.04465299  0.59410916  0.2985467  ... -0.18242137 -0.60389768
  0.04773434]",0.750000,0.250000,-1.570291,-2.044547,"[ 0.06444706  0.9058427  -0.56135655 ... -0.14150832 -0.15141418
  0.42573281]",0.750000,0.250000,-1.538856,-2.031507,"[-0.4040161  -0.47531923 -0.37673267 ...  0.22319298 -0.3336568
 -0.01332844]",0.750000,0.250000,-1.331398,-1.655233
2020-01-14,"[-0.301334    0.14387315 -1.60407275 ...  0.2069439  -0.04002222
  0.35651127]",0.750000,0.250000,-1.418611,-1.817509,"[-1.83054302  0.16301776 -0.20767474 ... -0.29717469  0.1947145
 -0.3493204 ]",0.750000,0.250000,-1.454869,-1.872577,"[ 0.32178865  0.43730164 -0.02127697 ... -0.13535296  0.48725277
 -0.35219687]",0.750000,0.250000,-1.502394,-1.936655,"[-0.49681696  0.22592793  0.62768976 ...  0.54321353 -0.20782964
  0.05676439]",0.750000,0.250000,-1.274019,-1.639675
2020-01-15,"[-0.05430756 -0.95024908 -0.05057556 ... -0.18298286  0.24197106
 -0.0298669 ]",0.750000,0.250000,-1.396252,-1.820744,"[-0.11424665 -0.25030279 -0.42370686 ...  0.50462035  0.38133264
 -0.06174118]",0.750000,0.250000,-1.450365,-1.929665,"[ 0.07882448 -0.36449439  0.29799426 ...  0.25925893  0.04747912
 -0.03145819]",0.750000,0.250000,-1.425634,-1.895094,"[ 1.25482163 -1.50560831 -0.56572323 ...  0.17603285  0.57431405
 -0.00798576]",0.750000,0.250000,-1.210889,-1.531670
