Date,Gaussian_VaR,Gaussian_ES,StudentT_VaR,StudentT_ES,Clayton_VaR,Clayton_ES,Gumbel_VaR,Gumbel_ES
2020-01-02,-1.450070,-1.815186,-1.615954,-2.110163,-1.615888,-2.099291,-1.340137,-1.647648
2020-01-03,-1.623455,-2.067281,-1.741895,-2.254786,-1.757645,-2.331605,-1.477811,-1.872630
2020-01-06,-1.673942,-2.128307,-1.749329,-2.286358,-1.794814,-2.338701,-1.462893,-1.829017
2020-01-07,-1.599464,-1.999765,-1.681912,-2.191029,-1.821173,-2.377502,-1.445113,-1.862544
2020-01-08,-1.580328,-2.047331,-1.679154,-2.171567,-1.706745,-2.237203,-1.411366,-1.766702
2020-01-09,-1.557041,-1.995055,-1.664195,-2.167404,-1.666256,-2.215036,-1.351991,-1.765542
2020-01-10,-1.431757,-1.836185,-1.579976,-2.026390,-1.569086,-2.065601,-1.325028,-1.701400
2020-01-13,-1.474884,-1.964715,-1.647425,-2.042242,-1.632690,-2.127875,-1.335124,-1.686982
2020-01-14,-1.415734,-1.802029,-1.469530,-1.871660,-1.526694,-1.962544,-1.250349,-1.574530
2020-01-15,-1.386208,-1.812327,-1.416540,-1.837873,-1.525520,-2.033529,-1.239775,-1.559165
2020-01-16,-1.376096,-1.818096,-1.474085,-1.921115,-1.477369,-1.954585,-1.275430,-1.624692
2020-01-17,-1.334709,-1.733010,-1.402788,-1.802087,-1.464240,-1.934082,-1.177100,-1.510175
2020-01-21,-1.340790,-1.704674,-1.406148,-1.821856,-1.450187,-1.929922,-1.147220,-1.440950
2020-01-22,-1.296421,-1.686905,-1.383502,-1.761351,-1.379047,-1.774821,-1.144574,-1.459068
2020-01-23,-1.315430,-1.697294,-1.393578,-1.767229,-1.417431,-1.838848,-1.150730,-1.457375
2020-01-24,-1.678979,-2.215506,-1.713756,-2.343884,-1.703209,-2.288276,-1.516769,-1.982248
2020-01-27,-2.776226,-3.538737,-2.863250,-3.763958,-3.016874,-3.990150,-2.515342,-3.228264
2020-01-28,-2.682614,-3.599992,-2.878960,-3.686083,-2.955344,-3.809939,-2.437364,-3.051786
2020-01-29,-2.459215,-3.139346,-2.631075,-3.395681,-2.769473,-3.589071,-2.229768,-2.784997
2020-01-30,-2.493907,-3.230354,-2.594227,-3.383330,-2.778087,-3.670097,-2.190891,-2.820548
2020-01-31,-3.016347,-3.886174,-3.343046,-4.285123,-3.444769,-4.548911,-2.771215,-3.543511
2020-02-03,-2.977052,-3.977624,-3.094529,-4.015751,-3.274559,-4.304755,-2.806600,-3.532802
2020-02-04,-2.942911,-3.799696,-3.086840,-3.985257,-3.128648,-4.120306,-2.685657,-3.464349
2020-02-05,-2.717500,-3.478157,-2.866945,-3.637997,-2.841277,-3.629697,-2.458798,-3.107451
2020-02-06,-2.474014,-3.152287,-2.639712,-3.516212,-2.676958,-3.503650,-2.289240,-2.944391
2020-02-07,-2.443793,-3.176187,-2.628849,-3.407676,-2.643625,-3.533442,-2.207958,-2.813492
2020-02-10,-2.341584,-3.011454,-2.543141,-3.306928,-2.563265,-3.384643,-2.258938,-2.801736
2020-02-11,-2.260043,-2.939061,-2.346912,-3.012583,-2.366968,-3.100043,-2.012939,-2.598947
2020-02-12,-2.098125,-2.766158,-2.244225,-2.871993,-2.320994,-3.046114,-1.939113,-2.399982
2020-02-13,-1.997025,-2.508380,-2.120925,-2.810840,-2.120168,-2.673325,-1.819187,-2.297745
2020-02-14,-1.983208,-2.487761,-1.977210,-2.611668,-2.055982,-2.683090,-1.717486,-2.161302
2020-02-18,-1.849099,-2.361950,-1.918773,-2.479210,-2.037639,-2.679949,-1.677534,-2.123178
2020-02-19,-1.801625,-2.278269,-1.937907,-2.469286,-1.959646,-2.483090,-1.660345,-2.093104
2020-02-20,-1.744705,-2.214167,-1.860843,-2.429415,-1.955805,-2.617104,-1.589433,-2.036470
2020-02-21,-2.101341,-2.667297,-2.257259,-2.975283,-2.380670,-3.009508,-1.911509,-2.435392
2020-02-24,-4.640047,-5.903103,-5.005114,-6.417903,-5.044929,-6.505377,-3.858033,-4.725799
2020-02-25,-5.307377,-6.745557,-5.578304,-7.162009,-5.720813,-7.522521,-4.777680,-5.967860
2020-02-26,-5.172251,-6.553643,-5.299058,-6.736547,-5.634729,-7.231822,-4.480228,-5.503527
2020-02-27,-6.095180,-7.727067,-6.505597,-8.521583,-6.672310,-8.633872,-5.403835,-6.703333
2020-02-28,-6.979247,-8.936850,-7.495851,-9.301788,-7.468837,-9.678039,-5.927260,-7.473793
2020-03-02,-6.484074,-8.207510,-7.327860,-9.380030,-7.178174,-9.462298,-5.679754,-6.794057
2020-03-03,-6.332837,-8.034355,-6.581302,-8.632100,-6.849654,-8.687430,-5.595567,-6.887186
2020-03-04,-6.010137,-7.628341,-6.421849,-8.138157,-6.661695,-8.590804,-5.413658,-6.559876
2020-03-05,-6.066917,-7.717809,-6.484810,-8.307808,-6.555082,-8.347802,-5.448575,-6.726121
2020-03-06,-6.772244,-8.496384,-6.936263,-9.027058,-7.302948,-9.607402,-5.814570,-7.259052
2020-03-09,-10.819632,-13.670696,-11.899303,-14.965935,-12.036309,-15.770577,-9.495047,-11.546811
2020-03-10,-10.749001,-13.634628,-11.363084,-14.401914,-11.571947,-15.324906,-9.001937,-11.218434
2020-03-11,-10.174383,-12.882443,-10.833684,-13.853064,-11.053359,-14.018689,-9.318559,-11.385936
2020-03-12,-16.955465,-21.381969,-17.595596,-23.309475,-17.786351,-23.358710,-14.021539,-17.274107
2020-03-13,-16.171170,-20.899538,-17.485306,-22.182112,-17.271749,-23.044109,-13.860519,-16.937250
2020-03-16,-16.813071,-21.585538,-17.765609,-23.836690,-18.488490,-24.049333,-15.297962,-18.796825
2020-03-17,-16.348988,-20.206950,-17.429880,-21.644315,-17.656855,-22.896661,-14.816612,-18.095663
2020-03-18,-16.414801,-20.575601,-17.573839,-22.863629,-17.753954,-23.139900,-14.710872,-18.650879
2020-03-19,-15.228599,-19.235612,-15.867071,-20.652145,-16.753975,-21.753832,-14.016927,-17.417751
2020-03-20,-14.534379,-19.054261,-15.322337,-19.575721,-16.121930,-20.545584,-13.508567,-16.608280
2020-03-23,-14.339635,-18.314177,-14.775048,-18.551682,-14.616104,-18.936662,-12.973158,-16.046514
2020-03-24,-13.712988,-17.040176,-14.128646,-17.823969,-14.872313,-18.533391,-12.012416,-14.618882
2020-03-25,-12.793473,-16.527180,-13.635492,-17.455225,-13.707556,-17.365496,-11.281440,-13.854863
2020-03-26,-12.262167,-15.984210,-12.492756,-16.009132,-13.079795,-17.499452,-10.627648,-13.008242
2020-03-27,-11.827296,-15.012064,-12.424411,-15.590374,-12.952759,-16.658830,-10.051022,-12.613664
2020-03-30,-11.050825,-14.131639,-11.542657,-14.628981,-12.440172,-16.298186,-9.811978,-12.366543
2020-03-31,-10.210096,-12.932382,-11.263380,-14.604719,-11.392403,-14.802870,-8.935148,-11.018171
2020-04-01,-10.725550,-13.462334,-11.602996,-14.790720,-11.663191,-15.023979,-9.576484,-11.615556
2020-04-02,-10.312495,-13.121312,-10.913190,-14.086935,-11.295845,-14.491155,-8.843145,-10.966050
2020-04-03,-9.701302,-12.282205,-10.187342,-12.812077,-10.419638,-13.265224,-8.230602,-10.029094
2020-04-06,-9.240938,-11.519876,-9.636043,-12.293485,-10.531651,-13.052113,-7.930155,-9.699578
2020-04-07,-8.583681,-10.947114,-9.243962,-12.075753,-9.292932,-11.961197,-7.268171,-8.897337
2020-04-08,-8.158355,-10.426404,-8.724900,-11.021923,-9.039537,-11.585197,-7.076698,-8.643529
2020-04-09,-7.614309,-9.947723,-7.995389,-10.303502,-8.348051,-10.564395,-6.408526,-7.889900
2020-04-14,-7.154862,-9.313511,-7.818682,-10.241414,-7.811214,-10.218738,-6.175436,-7.498562
2020-04-15,-7.437949,-9.474509,-7.865607,-10.082116,-7.840813,-10.429209,-6.498781,-8.154421
2020-04-16,-6.925805,-8.651605,-7.401831,-9.631080,-7.626761,-10.047216,-6.156991,-7.862260
2020-04-17,-6.486198,-8.436440,-6.954333,-8.828261,-7.199433,-9.483801,-6.020226,-7.681108
2020-04-20,-6.067336,-7.750531,-6.507208,-8.388079,-6.755070,-9.077424,-5.462354,-6.874675
2020-04-21,-6.957580,-9.021706,-7.739375,-10.584154,-7.941940,-10.539987,-6.252879,-7.749843
2020-04-22,-7.043676,-8.749823,-7.403884,-9.342510,-7.380866,-9.982656,-6.300059,-7.748935
2020-04-23,-6.246107,-8.186173,-6.477288,-8.344610,-6.786110,-8.796914,-5.666329,-7.195707
2020-04-24,-6.042492,-7.695029,-6.562924,-8.448493,-6.480072,-8.665489,-5.503347,-7.035847
2020-04-27,-5.726460,-7.327513,-5.995917,-7.453474,-6.176907,-7.969608,-5.143344,-6.569626
2020-04-28,-5.166855,-6.534016,-5.493327,-7.085373,-5.619372,-7.352230,-4.661238,-5.893448
2020-04-29,-5.114957,-6.436145,-5.370816,-6.754749,-5.472871,-7.255619,-4.583864,-5.840259
2020-04-30,-4.696495,-5.990927,-4.937503,-6.370744,-5.070325,-6.673791,-4.141919,-5.306625
2020-05-04,-5.472948,-7.049640,-5.857685,-7.873757,-6.051021,-7.938656,-5.030018,-6.249388
2020-05-05,-5.366811,-6.683209,-5.538321,-7.322007,-5.727061,-7.371313,-4.679344,-5.776516
2020-05-06,-4.944363,-6.463137,-5.346486,-6.828426,-5.188483,-6.670210,-4.462968,-5.736016
2020-05-07,-4.772491,-6.261585,-4.896111,-6.332834,-5.108770,-6.640521,-4.318932,-5.519887
2020-05-08,-4.381193,-5.503785,-4.782487,-6.083918,-4.724274,-6.151154,-3.952114,-5.055352
2020-05-11,-4.140306,-5.449781,-4.369189,-5.456148,-4.447640,-5.751524,-3.718248,-4.651930
2020-05-12,-4.387778,-5.591532,-4.622645,-6.057519,-5.096312,-6.774822,-4.054176,-5.055907
2020-05-13,-4.777939,-6.187108,-5.108169,-6.776381,-5.366677,-7.245820,-4.652971,-5.984787
2020-05-14,-4.976641,-6.435607,-5.209327,-6.879844,-5.304512,-6.968669,-4.373723,-5.497948
2020-05-15,-4.361076,-5.799727,-4.668114,-5.886900,-4.784522,-6.327661,-4.152048,-5.286546
