Date,Gaussian_VaR,Gaussian_ES,Gaussian_wSPX,Gaussian_wDAX,Gaussian_volSPX,Gaussian_volDAX,StudentT_VaR,StudentT_ES,StudentT_wSPX,StudentT_wDAX,StudentT_volSPX,StudentT_volDAX,Clayton_VaR,Clayton_ES,Clayton_wSPX,Clayton_wDAX,Clayton_volSPX,Clayton_volDAX,Gumbel_VaR,Gumbel_ES,Gumbel_wSPX,Gumbel_wDAX,Gumbel_volSPX,Gumbel_volDAX
2020-01-02,-1.738927,-2.105965,0.589651,0.410349,0.436097,0.467362,-1.880233,-2.331559,0.680964,0.319036,0.436097,0.467362,-1.918147,-2.341519,0.586362,0.413638,0.436097,0.467362,-1.476923,-1.746696,0.581738,0.418262,0.436097,0.467362
2020-01-03,-1.763437,-2.146860,0.700000,0.300000,0.408657,0.519275,-1.886948,-2.297344,0.700000,0.300000,0.408657,0.519275,-1.891289,-2.321826,0.700000,0.300000,0.408657,0.519275,-1.550374,-1.842563,0.700000,0.300000,0.408657,0.519275
2020-01-06,-2.204886,-2.709383,0.700000,0.300000,0.517237,0.626151,-2.310849,-2.828635,0.700000,0.300000,0.517237,0.626151,-2.385269,-2.920882,0.700000,0.300000,0.517237,0.626151,-1.912733,-2.272281,0.700000,0.300000,0.517237,0.626151
2020-01-07,-2.058942,-2.488134,0.700000,0.300000,0.473145,0.612375,-2.196764,-2.662094,0.700000,0.300000,0.473145,0.612375,-2.236215,-2.752821,0.700000,0.300000,0.473145,0.612375,-1.817246,-2.155343,0.700000,0.300000,0.473145,0.612375
2020-01-08,-2.013711,-2.448218,0.700000,0.300000,0.465272,0.589189,-2.129176,-2.604967,0.700000,0.300000,0.465272,0.589189,-2.238909,-2.727469,0.700000,0.300000,0.465272,0.589189,-1.747956,-2.128996,0.700000,0.300000,0.465272,0.589189
2020-01-09,-1.882510,-2.277820,0.700000,0.300000,0.431146,0.565375,-1.981079,-2.407566,0.700000,0.300000,0.431146,0.565375,-2.051585,-2.487726,0.700000,0.300000,0.431146,0.565375,-1.612267,-1.889779,0.700000,0.300000,0.431146,0.565375
2020-01-10,-1.879493,-2.276065,0.700000,0.300000,0.404116,0.633368,-2.014400,-2.424659,0.700000,0.300000,0.404116,0.633368,-2.021157,-2.460425,0.700000,0.300000,0.404116,0.633368,-1.590322,-1.889250,0.700000,0.300000,0.404116,0.633368
2020-01-13,-1.803156,-2.150312,0.700000,0.300000,0.410789,0.572116,-1.952237,-2.351691,0.700000,0.300000,0.410789,0.572116,-1.965253,-2.369455,0.700000,0.300000,0.410789,0.572116,-1.568217,-1.885476,0.700000,0.300000,0.410789,0.572116
2020-01-14,-1.712663,-2.055450,0.700000,0.300000,0.387721,0.528164,-1.837249,-2.247604,0.700000,0.300000,0.387721,0.528164,-1.868148,-2.262810,0.700000,0.300000,0.387721,0.528164,-1.453131,-1.702222,0.700000,0.300000,0.387721,0.528164
2020-01-15,-1.600082,-1.943893,0.700000,0.300000,0.378339,0.482922,-1.738066,-2.121092,0.700000,0.300000,0.378339,0.482922,-1.732009,-2.117113,0.700000,0.300000,0.378339,0.482922,-1.432887,-1.695214,0.700000,0.300000,0.378339,0.482922
2020-01-16,-1.541993,-1.872332,0.700000,0.300000,0.361514,0.453042,-1.639929,-1.961443,0.700000,0.300000,0.361514,0.453042,-1.663347,-2.066756,0.700000,0.300000,0.361514,0.453042,-1.374648,-1.624850,0.700000,0.300000,0.361514,0.453042
2020-01-17,-1.457811,-1.776313,0.700000,0.300000,0.349265,0.422753,-1.558216,-1.899134,0.700000,0.300000,0.349265,0.422753,-1.585104,-1.929451,0.700000,0.300000,0.349265,0.422753,-1.304415,-1.532655,0.700000,0.300000,0.349265,0.422753
2020-01-21,-1.453561,-1.756894,0.700000,0.300000,0.339349,0.441106,-1.551699,-1.855387,0.700000,0.300000,0.339349,0.441106,-1.583756,-1.928780,0.700000,0.300000,0.339349,0.441106,-1.277088,-1.497857,0.700000,0.300000,0.339349,0.441106
2020-01-22,-1.491615,-1.779299,0.664198,0.335802,0.363942,0.413841,-1.596384,-1.952311,0.700000,0.300000,0.363942,0.413841,-1.654850,-2.038503,0.658261,0.341739,0.363942,0.413841,-1.296448,-1.520321,0.649903,0.350097,0.363942,0.413841
2020-01-23,-1.469017,-1.752682,0.686828,0.313172,0.351294,0.406934,-1.559881,-1.869237,0.700000,0.300000,0.351294,0.406934,-1.592198,-1.933330,0.680115,0.319885,0.351294,0.406934,-1.260265,-1.489733,0.670659,0.329341,0.351294,0.406934
2020-01-24,-1.532925,-1.848427,0.700000,0.300000,0.340229,0.495689,-1.621905,-1.970155,0.700000,0.300000,0.340229,0.495689,-1.676622,-2.050756,0.700000,0.300000,0.340229,0.495689,-1.316824,-1.567220,0.700000,0.300000,0.340229,0.495689
2020-01-27,-2.286132,-2.795258,0.555423,0.444577,0.579842,0.605113,-2.507468,-3.001191,0.612314,0.387686,0.579842,0.605113,-2.509909,-3.050780,0.553382,0.446618,0.579842,0.605113,-1.948360,-2.312189,0.550513,0.449487,0.579842,0.605113
2020-01-28,-3.990537,-4.762930,0.543388,0.456612,0.996230,1.030035,-4.285521,-5.165630,0.588009,0.411991,0.996230,1.030035,-4.369516,-5.258936,0.541789,0.458211,0.996230,1.030035,-3.365840,-3.965348,0.539542,0.460458,0.996230,1.030035
2020-01-29,-3.536738,-4.264499,0.588191,0.411809,0.876518,0.938289,-3.832191,-4.638749,0.678054,0.321946,0.876518,0.938289,-3.881638,-4.663353,0.584955,0.415045,0.876518,0.938289,-3.081268,-3.611150,0.580406,0.419594,0.876518,0.938289
2020-01-30,-3.080050,-3.720029,0.583371,0.416629,0.774517,0.825989,-3.411065,-4.170308,0.668433,0.331567,0.774517,0.825989,-3.405811,-4.200328,0.580310,0.419690,0.774517,0.825989,-2.666296,-3.129493,0.576007,0.423993,0.774517,0.825989
2020-01-31,-2.925487,-3.543694,0.700000,0.300000,0.687513,0.864089,-3.075230,-3.714255,0.700000,0.300000,0.687513,0.864089,-3.188271,-3.896642,0.700000,0.300000,0.687513,0.864089,-2.604617,-3.088714,0.700000,0.300000,0.687513,0.864089
2020-02-03,-3.653470,-4.448875,0.300000,0.700000,1.093842,0.879851,-3.993997,-4.891143,0.300000,0.700000,1.093842,0.879851,-3.999031,-4.888253,0.300000,0.700000,1.093842,0.879851,-3.183597,-3.741737,0.300000,0.700000,1.093842,0.879851
